Mass (u)	P1_SQ0	P2_SQ0	P3_SQ0	P1_SQ1	P1_SQ2	P1_SQ3	P1_SQ4	P1_SQ5	P2_SQ1	P2_SQ2	P2_SQ3	P2_SQ4	P2_SQ5	P3_SQ1	P3_SQ2	P3_SQ3	P3_SQ4	P3_SQ5
64.03132	3.62E-04	3.77E-04	3.97E-04	7.98E-05	3.05E-04	3.45E-04	4.04E-04	4.50E-04	7.21E-05	3.31E-04	3.13E-04	3.88E-04	4.15E-04	7.84E-05	3.35E-04	3.36E-04	4.11E-04	4.59E-04
65.00394	1.08E-02	1.09E-02	1.10E-02	1.08E-03	2.79E-03	4.31E-03	6.22E-03	7.02E-03	1.03E-03	3.23E-03	4.08E-03	6.20E-03	6.49E-03	1.03E-03	3.23E-03	4.22E-03	6.19E-03	7.19E-03
65.04149	7.32E-04	8.05E-04	7.71E-04	3.24E-05	2.41E-04	3.48E-04	5.45E-04	6.37E-04	2.67E-05	2.88E-04	2.87E-04	5.34E-04	5.93E-04	2.42E-05	3.07E-04	3.48E-04	5.13E-04	6.53E-04
65.21387	9.58E-05	9.38E-05	9.38E-05	1.65E-05	1.61E-05	3.43E-05	5.36E-05	5.53E-05	1.88E-05	2.16E-05	2.70E-05	5.19E-05	5.28E-05	1.24E-05	2.50E-05	3.47E-05	4.71E-05	5.65E-05
66.00752	1.04E-03	1.01E-03	1.08E-03	2.99E-04	6.10E-04	6.71E-04	9.34E-04	1.01E-03	2.68E-04	5.55E-04	6.52E-04	9.14E-04	9.83E-04	2.55E-04	5.51E-04	6.67E-04	9.12E-04	1.03E-03
66.97652	1.88E-03	1.63E-03	1.72E-03	1.03E-04	1.77E-03	1.87E-03	2.04E-03	2.04E-03	1.08E-04	1.67E-03	1.66E-03	1.96E-03	1.64E-03	1.22E-04	1.69E-03	1.83E-03	2.04E-03	2.07E-03
67.02182	6.54E-03	7.11E-03	6.78E-03	9.90E-05	1.03E-03	1.79E-03	2.65E-03	3.06E-03	7.75E-05	1.33E-03	1.74E-03	2.71E-03	2.91E-03	8.64E-05	1.32E-03	1.74E-03	2.67E-03	3.16E-03
67.18943	5.08E-05	4.77E-05	5.26E-05	2.87E-06	3.05E-05	2.88E-05	4.11E-05	4.67E-05	7.83E-07	3.06E-05	2.53E-05	4.19E-05	3.50E-05	7.32E-07	2.85E-05	3.54E-05	3.42E-05	4.48E-05
67.23562	4.36E-05	4.49E-05	4.55E-05	7.17E-07	4.79E-06	1.11E-05	1.13E-05	1.86E-05	7.83E-07	7.83E-06	7.98E-06	1.42E-05	1.43E-05	0.00E+00	4.69E-06	1.16E-05	1.14E-05	1.43E-05
67.9814	2.42E-04	2.31E-04	2.39E-04	3.52E-04	1.99E-04	1.85E-04	2.06E-04	2.26E-04	3.34E-04	1.60E-04	1.72E-04	1.89E-04	1.91E-04	3.48E-04	1.75E-04	1.68E-04	2.13E-04	2.15E-04
68.02317	3.66E-04	3.62E-04	4.07E-04	1.44E-05	9.58E-05	1.32E-04	1.71E-04	1.94E-04	9.40E-06	8.32E-05	1.08E-04	1.67E-04	1.97E-04	1.54E-05	7.67E-05	1.16E-04	1.69E-04	1.80E-04
68.99822	2.87E-03	2.83E-03	3.08E-03	5.93E-04	1.63E-03	2.44E-03	3.28E-03	3.84E-03	6.09E-04	1.87E-03	2.36E-03	3.51E-03	3.69E-03	6.35E-04	1.89E-03	2.46E-03	3.51E-03	3.99E-03
69.03747	4.87E-04	5.34E-04	5.14E-04	5.03E-06	2.16E-04	3.59E-04	6.26E-04	7.62E-04	9.41E-06	2.90E-04	3.44E-04	6.32E-04	7.44E-04	9.53E-06	2.62E-04	3.78E-04	6.50E-04	8.24E-04
70.00294	1.23E-04	1.23E-04	1.27E-04	2.51E-05	1.15E-04	1.35E-04	1.86E-04	2.20E-04	1.96E-05	1.25E-04	1.21E-04	2.06E-04	2.24E-04	2.12E-05	1.12E-04	1.26E-04	2.06E-04	2.30E-04
71.01589	1.47E-03	1.54E-03	1.52E-03	2.65E-05	1.89E-03	2.24E-03	2.50E-03	2.66E-03	2.11E-05	2.40E-03	2.30E-03	2.59E-03	2.61E-03	1.90E-05	2.35E-03	2.44E-03	2.67E-03	2.71E-03
71.99956	1.39E-03	1.19E-03	1.24E-03	5.28E-03	9.60E-04	1.25E-03	1.83E-03	2.09E-03	5.52E-03	8.59E-04	1.17E-03	1.74E-03	1.75E-03	5.24E-03	8.71E-04	1.18E-03	1.76E-03	2.12E-03
72.22072	3.75E-05	3.14E-05	3.08E-05	4.81E-05	1.57E-05	2.55E-05	3.84E-05	4.21E-05	6.81E-05	1.53E-05	1.25E-05	3.33E-05	3.11E-05	5.34E-05	1.37E-05	1.95E-05	3.82E-05	3.70E-05
