Mass (u)	P1_SQ1	P1_SQ2	P1_SQ3	P1_SQ4	P1_SQ5	P2_SQ1	P2_SQ2	P2_SQ3	P2_SQ4	P2_SQ5	P3_SQ1	P3_SQ2	P3_SQ3	P3_SQ4	P3_SQ5	P1_SQ0	P2_SQ0	P3_SQ0
73.00847	5.54E-03	2.43E-03	3.76E-03	5.93E-03	6.96E-03	5.59E-03	2.45E-03	2.67E-03	5.64E-03	6.01E-03	5.58E-03	2.49E-03	3.51E-03	5.61E-03	7.15E-03	6.80E-03	6.43E-03	6.77E-03
74.01388	1.06E-03	4.53E-04	6.31E-04	9.24E-04	1.10E-03	9.70E-04	4.24E-04	5.24E-04	8.79E-04	9.68E-04	9.80E-04	4.19E-04	5.84E-04	8.96E-04	1.07E-03	9.10E-04	8.87E-04	9.16E-04
74.98645	1.26E-04	5.81E-04	5.87E-04	6.23E-04	6.42E-04	1.25E-04	6.84E-04	5.68E-04	6.16E-04	5.57E-04	1.15E-04	7.57E-04	6.68E-04	6.37E-04	6.47E-04	2.62E-03	2.71E-03	2.88E-03
75.02461	3.14E-04	5.11E-04	7.64E-04	1.12E-03	1.30E-03	2.50E-04	5.86E-04	6.26E-04	1.12E-03	1.19E-03	2.90E-04	5.66E-04	7.46E-04	1.16E-03	1.33E-03	1.58E-03	1.64E-03	1.65E-03
75.97403	1.24E-02	9.82E-04	5.17E-04	3.94E-04	3.28E-04	1.26E-02	6.47E-04	4.62E-04	3.85E-04	3.45E-04	1.22E-02	6.69E-04	5.72E-04	4.46E-04	3.59E-04	2.34E-04	2.08E-04	2.25E-04
75.99408	1.25E-03	2.64E-04	2.27E-04	2.66E-04	2.69E-04	1.36E-03	2.53E-04	1.94E-04	2.76E-04	2.50E-04	1.33E-03	2.47E-04	2.57E-04	2.73E-04	2.81E-04	2.87E-04	2.97E-04	3.09E-04
76.03066	5.01E-05	8.49E-05	1.22E-04	1.59E-04	2.00E-04	4.61E-05	9.89E-05	8.81E-05	1.55E-04	1.70E-04	4.09E-05	1.03E-04	1.08E-04	1.63E-04	1.88E-04	3.94E-04	4.31E-04	4.04E-04
76.98238	3.51E-02	4.63E-03	4.28E-03	4.19E-03	4.14E-03	3.34E-02	4.80E-03	4.74E-03	4.38E-03	3.90E-03	3.49E-02	4.64E-03	4.70E-03	4.48E-03	4.20E-03	3.86E-03	3.99E-03	4.06E-03
77.00299	4.71E-04	4.84E-04	6.82E-04	8.33E-04	9.61E-04	5.72E-04	6.38E-04	5.39E-04	8.46E-04	8.75E-04	5.13E-04	6.77E-04	7.17E-04	9.41E-04	9.56E-04	1.41E-03	1.46E-03	1.43E-03
78.01136	6.37E-05	1.05E-04	1.59E-04	2.32E-04	2.42E-04	8.20E-05	1.22E-04	1.49E-04	2.22E-04	2.57E-04	7.08E-05	1.20E-04	1.48E-04	2.23E-04	2.78E-04	2.74E-04	2.85E-04	2.83E-04
