Mass (u)	P1_SQ2	P1_SQ1	P1_SQ3	P1_SQ4	P1_SQ5	P2_SQ2	P2_SQ1	P2_SQ3	P2_SQ4	P2_SQ5	P3_SQ2	P3_SQ1	P3_SQ3	P3_SQ4	P3_SQ5
774.6065	1.33E-04	7.17E-07	1.48E-04	1.68E-04	1.79E-04	1.58E-04	0.00E+00	1.40E-04	2.00E-04	1.84E-04	1.69E-04	0.00E+00	1.63E-04	1.86E-04	2.00E-04
775.9896	3.22E-05	1.43E-06	5.17E-05	6.79E-05	7.83E-05	3.88E-05	0.00E+00	4.23E-05	7.02E-05	8.98E-05	3.99E-05	7.32E-07	5.53E-05	5.97E-05	7.56E-05
776.7287	2.70E-05	0.00E+00	3.47E-05	5.02E-05	6.11E-05	2.83E-05	0.00E+00	3.43E-05	5.25E-05	6.35E-05	3.21E-05	7.32E-07	3.47E-05	4.49E-05	5.55E-05
777.9844	2.70E-05	1.43E-06	5.42E-05	7.34E-05	9.20E-05	3.17E-05	7.83E-07	5.37E-05	7.66E-05	1.15E-04	3.60E-05	0.00E+00	4.56E-05	6.77E-05	8.51E-05
779.1319	3.35E-05	7.17E-07	6.05E-05	8.62E-05	1.03E-04	4.32E-05	0.00E+00	6.28E-05	9.29E-05	1.08E-04	4.22E-05	0.00E+00	4.59E-05	7.42E-05	9.56E-05
779.9704	2.06E-04	7.17E-07	3.53E-04	5.21E-04	5.69E-04	2.81E-04	1.57E-06	3.98E-04	5.27E-04	5.79E-04	2.69E-04	1.46E-06	3.22E-04	4.84E-04	5.58E-04
780.5941	1.76E-04	7.17E-07	3.41E-04	4.98E-04	5.81E-04	2.47E-04	2.35E-06	2.59E-04	5.02E-04	4.57E-04	2.58E-04	1.46E-06	3.26E-04	5.01E-04	6.00E-04
781.9537	3.87E-05	0.00E+00	6.35E-05	9.41E-05	1.14E-04	5.40E-05	0.00E+00	6.48E-05	9.93E-05	1.53E-04	5.20E-05	0.00E+00	6.51E-05	8.37E-05	9.77E-05
782.6838	2.13E-05	7.17E-07	5.35E-05	6.49E-05	7.20E-05	3.76E-05	0.00E+00	3.95E-05	6.78E-05	8.80E-05	3.56E-05	1.46E-06	4.05E-05	5.57E-05	7.11E-05
784.093	2.78E-05	7.17E-07	4.80E-05	6.00E-05	7.80E-05	4.85E-05	0.00E+00	5.10E-05	7.31E-05	1.10E-04	4.46E-05	0.00E+00	4.77E-05	6.56E-05	7.32E-05
784.8742	1.35E-05	0.00E+00	2.51E-05	4.38E-05	4.30E-05	1.98E-05	7.83E-07	2.67E-05	3.51E-05	5.43E-05	1.88E-05	7.32E-07	2.64E-05	2.92E-05	3.85E-05
786.031	2.87E-05	0.00E+00	4.65E-05	5.94E-05	7.11E-05	4.10E-05	1.57E-06	4.51E-05	6.66E-05	1.02E-04	3.17E-05	0.00E+00	4.12E-05	4.65E-05	5.79E-05
786.8898	3.05E-05	0.00E+00	2.95E-05	5.39E-05	6.54E-05	3.43E-05	0.00E+00	3.99E-05	6.04E-05	1.16E-04	2.70E-05	0.00E+00	3.91E-05	5.23E-05	6.15E-05
788.06	8.62E-05	7.17E-07	1.16E-04	1.99E-04	2.24E-04	9.06E-05	0.00E+00	1.32E-04	1.80E-04	2.39E-04	9.31E-05	0.00E+00	1.11E-04	1.63E-04	2.25E-04
788.609	9.01E-05	7.17E-07	9.15E-05	1.56E-04	1.91E-04	7.49E-05	0.00E+00	7.21E-05	1.46E-04	1.75E-04	8.37E-05	0.00E+00	8.83E-05	1.45E-04	2.00E-04
789.9764	4.87E-05	0.00E+00	6.64E-05	8.40E-05	9.78E-05	7.90E-05	0.00E+00	8.36E-05	9.96E-05	1.27E-04	8.13E-05	0.00E+00	6.94E-05	8.87E-05	9.62E-05
790.7409	2.96E-05	0.00E+00	6.01E-05	7.64E-05	8.00E-05	4.85E-05	0.00E+00	6.00E-05	7.22E-05	1.01E-04	4.77E-05	0.00E+00	5.28E-05	5.97E-05	7.32E-05
792.0788	5.53E-05	0.00E+00	7.56E-05	8.46E-05	9.92E-05	7.53E-05	0.00E+00	8.53E-05	1.03E-04	1.24E-04	7.16E-05	0.00E+00	7.49E-05	8.93E-05	8.66E-05
792.8708	4.09E-05	0.00E+00	5.87E-05	8.07E-05	7.60E-05	5.44E-05	0.00E+00	6.10E-05	8.22E-05	9.34E-05	5.55E-05	7.32E-07	5.46E-05	7.11E-05	8.18E-05
793.9642	4.22E-05	0.00E+00	5.68E-05	8.98E-05	9.78E-05	5.14E-05	0.00E+00	6.31E-05	9.26E-05	1.19E-04	5.83E-05	0.00E+00	6.15E-05	9.79E-05	1.04E-04
795.0164	4.13E-05	0.00E+00	5.68E-05	8.68E-05	1.10E-04	4.85E-05	7.83E-07	6.00E-05	7.93E-05	9.62E-05	5.01E-05	0.00E+00	5.32E-05	8.00E-05	9.20E-05
795.9289	6.31E-05	1.43E-06	8.97E-05	1.61E-04	1.78E-04	6.45E-05	7.83E-07	9.50E-05	1.46E-04	1.76E-04	6.49E-05	2.20E-06	8.61E-05	1.33E-04	1.68E-04
796.5973	4.13E-05	7.17E-07	6.09E-05	9.62E-05	1.21E-04	4.25E-05	7.83E-07	5.34E-05	9.64E-05	1.21E-04	5.16E-05	0.00E+00	5.93E-05	1.02E-04	1.25E-04
797.9774	2.26E-05	2.87E-06	2.88E-05	4.96E-05	5.50E-05	2.50E-05	1.57E-06	3.16E-05	4.63E-05	6.15E-05	2.31E-05	7.32E-07	2.78E-05	4.00E-05	4.18E-05
798.6823	1.57E-05	2.15E-06	2.58E-05	3.41E-05	4.73E-05	2.27E-05	1.57E-06	2.25E-05	4.10E-05	5.23E-05	1.88E-05	0.00E+00	2.53E-05	4.25E-05	4.54E-05
800.1514	1.65E-05	7.17E-07	2.69E-05	4.90E-05	5.45E-05	2.20E-05	0.00E+00	3.88E-05	5.01E-05	5.89E-05	2.50E-05	0.00E+00	3.11E-05	4.96E-05	4.33E-05
801.1037	1.70E-05	0.00E+00	2.36E-05	4.45E-05	4.70E-05	2.05E-05	0.00E+00	2.77E-05	3.57E-05	5.94E-05	1.76E-05	0.00E+00	2.21E-05	3.54E-05	3.97E-05
802.067	2.44E-05	7.17E-07	3.87E-05	5.45E-05	5.99E-05	3.95E-05	7.83E-07	4.99E-05	5.16E-05	1.15E-04	3.60E-05	0.00E+00	4.20E-05	4.86E-05	5.73E-05
802.6997	3.22E-05	0.00E+00	5.20E-05	6.64E-05	7.43E-05	3.99E-05	0.00E+00	4.65E-05	7.28E-05	1.27E-04	4.38E-05	0.00E+00	4.41E-05	5.88E-05	6.96E-05
804.0279	4.79E-05	1.43E-06	7.71E-05	1.05E-04	1.26E-04	4.99E-05	0.00E+00	7.77E-05	1.02E-04	1.79E-04	4.97E-05	0.00E+00	7.02E-05	1.08E-04	1.19E-04
804.5994	2.70E-05	0.00E+00	5.31E-05	7.31E-05	9.20E-05	4.58E-05	0.00E+00	4.33E-05	6.84E-05	1.18E-04	3.91E-05	0.00E+00	5.24E-05	7.11E-05	8.48E-05
806.0894	2.70E-05	0.00E+00	3.47E-05	4.72E-05	5.53E-05	3.35E-05	0.00E+00	3.43E-05	3.80E-05	8.60E-05	3.05E-05	0.00E+00	3.33E-05	4.59E-05	4.66E-05
807.0815	2.13E-05	0.00E+00	4.02E-05	3.84E-05	4.33E-05	2.57E-05	0.00E+00	4.02E-05	3.71E-05	6.40E-05	2.89E-05	0.00E+00	3.04E-05	3.57E-05	3.37E-05
808.0069	3.66E-05	0.00E+00	7.08E-05	6.94E-05	7.77E-05	7.57E-05	7.83E-07	7.94E-05	7.66E-05	9.41E-05	5.55E-05	0.00E+00	7.20E-05	6.19E-05	6.84E-05
808.7343	1.78E-05	0.00E+00	3.58E-05	3.71E-05	3.35E-05	3.35E-05	0.00E+00	2.95E-05	3.98E-05	4.67E-05	2.78E-05	7.32E-07	2.35E-05	3.39E-05	3.17E-05
810.0597	2.87E-05	0.00E+00	4.21E-05	5.75E-05	5.82E-05	5.48E-05	0.00E+00	6.59E-05	5.81E-05	7.58E-05	4.03E-05	0.00E+00	4.52E-05	4.99E-05	5.14E-05
810.6239	2.57E-05	0.00E+00	3.36E-05	5.24E-05	4.56E-05	3.99E-05	7.83E-07	3.78E-05	5.13E-05	7.02E-05	3.68E-05	0.00E+00	3.73E-05	4.34E-05	4.90E-05
811.9915	2.83E-05	0.00E+00	3.62E-05	7.12E-05	7.66E-05	3.32E-05	0.00E+00	5.27E-05	6.25E-05	1.04E-04	3.21E-05	0.00E+00	3.62E-05	5.85E-05	7.47E-05
812.7293	2.52E-05	0.00E+00	3.47E-05	4.75E-05	6.97E-05	2.35E-05	0.00E+00	3.26E-05	5.04E-05	7.83E-05	2.62E-05	0.00E+00	3.29E-05	5.30E-05	5.17E-05
813.8787	2.61E-05	0.00E+00	3.32E-05	4.66E-05	5.28E-05	2.42E-05	0.00E+00	3.64E-05	5.13E-05	5.71E-05	2.35E-05	0.00E+00	3.73E-05	4.19E-05	5.32E-05
815.0272	2.78E-05	7.17E-07	4.91E-05	7.64E-05	6.94E-05	3.50E-05	0.00E+00	4.99E-05	6.96E-05	7.40E-05	3.40E-05	7.32E-07	5.21E-05	6.68E-05	8.30E-05
815.9442	4.26E-05	1.43E-06	6.53E-05	9.10E-05	1.08E-04	5.63E-05	0.00E+00	5.96E-05	9.29E-05	9.67E-05	5.91E-05	0.00E+00	6.33E-05	8.22E-05	1.00E-04
816.5954	1.96E-05	0.00E+00	3.62E-05	5.09E-05	6.57E-05	2.80E-05	0.00E+00	2.91E-05	5.01E-05	5.21E-05	2.97E-05	0.00E+00	3.33E-05	4.86E-05	5.79E-05
818.0695	1.57E-05	0.00E+00	2.25E-05	3.32E-05	4.10E-05	1.45E-05	0.00E+00	2.67E-05	3.45E-05	3.95E-05	1.53E-05	0.00E+00	1.88E-05	3.05E-05	4.06E-05
818.8753	7.83E-06	0.00E+00	1.59E-05	2.16E-05	2.84E-05	1.19E-05	0.00E+00	1.60E-05	2.36E-05	3.06E-05	1.29E-05	0.00E+00	1.34E-05	2.12E-05	2.63E-05
819.8101	1.22E-05	0.00E+00	1.70E-05	2.04E-05	3.12E-05	1.27E-05	7.83E-07	1.66E-05	2.89E-05	3.78E-05	1.13E-05	0.00E+00	1.27E-05	2.28E-05	3.08E-05
821.2515	7.83E-06	0.00E+00	1.03E-05	2.22E-05	2.64E-05	1.01E-05	0.00E+00	1.21E-05	1.65E-05	2.58E-05	8.60E-06	0.00E+00	1.05E-05	1.66E-05	2.45E-05
822.1641	8.27E-06	0.00E+00	1.51E-05	2.65E-05	2.06E-05	1.12E-05	0.00E+00	1.32E-05	2.24E-05	3.06E-05	9.39E-06	0.00E+00	1.05E-05	2.03E-05	1.97E-05
823.1251	1.26E-05	7.17E-07	2.51E-05	3.81E-05	3.87E-05	1.98E-05	7.83E-07	2.98E-05	2.59E-05	3.62E-05	1.96E-05	7.32E-07	2.21E-05	2.49E-05	3.85E-05
823.8619	1.96E-05	7.17E-07	2.58E-05	3.01E-05	4.56E-05	1.94E-05	0.00E+00	2.95E-05	3.83E-05	4.08E-05	2.70E-05	0.00E+00	2.64E-05	3.51E-05	3.82E-05
825.1717	1.39E-05	0.00E+00	2.21E-05	2.25E-05	2.81E-05	2.09E-05	0.00E+00	1.94E-05	2.62E-05	4.24E-05	1.80E-05	0.00E+00	1.92E-05	2.19E-05	2.06E-05
826.4158	4.22E-05	0.00E+00	9.63E-05	6.58E-05	6.48E-05	8.31E-05	7.83E-07	1.09E-04	7.46E-05	1.76E-04	4.34E-05	0.00E+00	6.40E-05	5.23E-05	4.00E-05
826.579	2.48E-05	7.17E-07	5.57E-05	3.96E-05	3.33E-05	5.22E-05	0.00E+00	4.65E-05	4.13E-05	7.56E-05	4.65E-05	0.00E+00	4.23E-05	3.63E-05	3.08E-05
828.3975	4.22E-05	7.17E-07	6.86E-05	5.48E-05	4.42E-05	5.81E-05	0.00E+00	7.46E-05	5.51E-05	1.90E-04	4.61E-05	0.00E+00	3.69E-05	4.34E-05	2.99E-05
828.5596	1.65E-05	0.00E+00	2.88E-05	2.86E-05	2.92E-05	3.28E-05	0.00E+00	2.46E-05	2.68E-05	6.92E-05	3.21E-05	7.32E-07	3.00E-05	2.71E-05	2.42E-05
830.2535	1.74E-05	0.00E+00	3.17E-05	3.04E-05	4.13E-05	2.24E-05	0.00E+00	2.67E-05	3.54E-05	4.95E-05	2.46E-05	0.00E+00	2.71E-05	2.99E-05	3.17E-05
831.3487	9.14E-05	0.00E+00	7.23E-05	1.04E-04	1.03E-04	8.35E-05	0.00E+00	1.03E-04	1.06E-04	9.29E-05	8.13E-05	0.00E+00	1.02E-04	1.14E-04	1.02E-04
832.4201	5.68E-04	0.00E+00	6.11E-04	7.64E-04	8.33E-04	6.52E-04	0.00E+00	7.85E-04	8.66E-04	7.82E-04	6.31E-04	0.00E+00	6.69E-04	8.99E-04	9.50E-04
832.5436	2.54E-04	0.00E+00	3.30E-04	3.31E-04	4.02E-04	3.31E-04	0.00E+00	2.45E-04	3.68E-04	2.98E-04	4.43E-04	0.00E+00	4.32E-04	4.44E-04	4.54E-04
