formula,mass,charge,description,chemical_class,alucone_relevance
[C4H39OAl2-H]-,156.25589200000002,negative,Deprotonated,Al-organic_hybrid,High
[C5H36O2Al+H]+,156.260345,positive,Protonated,Al-organic_hybrid,High
C5H37O2Al+,156.260345,positive,Molecular ion,Al-organic_hybrid,High
[C5H38O2Al-H]+,156.260345,positive,Hydrogen loss,Al-organic_hybrid,High
C5H37O2Al-,156.261443,negative,Molecular anion,Al-organic_hybrid,High
[C5H38O2Al-H]-,156.261443,negative,Deprotonated,Al-organic_hybrid,High
[H42O2Al3+H]+,156.270373,positive,Protonated,Aluminum_oxide,High
H43O2Al3+,156.270373,positive,Molecular ion,Aluminum_oxide,High
[H44O2Al3-H]+,156.270373,positive,Hydrogen loss,Aluminum_oxide,High
H43O2Al3-,156.27147100000002,negative,Molecular anion,Aluminum_oxide,High
[H44O2Al3-H]-,156.27147100000002,negative,Deprotonated,Aluminum_oxide,High
[CH41O3Al2+H]+,156.275924,positive,Protonated,Al-organic_hybrid,High
CH42O3Al2+,156.275924,positive,Molecular ion,Al-organic_hybrid,High
[CH43O3Al2-H]+,156.275924,positive,Hydrogen loss,Al-organic_hybrid,High
CH42O3Al2-,156.27702200000002,negative,Molecular anion,Al-organic_hybrid,High
[CH43O3Al2-H]-,156.27702200000002,negative,Deprotonated,Al-organic_hybrid,High
[C2H40O4Al+H]+,156.281475,positive,Protonated,Al-organic_hybrid,High
C2H41O4Al+,156.281475,positive,Molecular ion,Al-organic_hybrid,High
[C2H42O4Al-H]+,156.281475,positive,Hydrogen loss,Al-organic_hybrid,High
C2H41O4Al-,156.282573,negative,Molecular anion,Al-organic_hybrid,High
[C2H42O4Al-H]-,156.282573,negative,Deprotonated,Al-organic_hybrid,High
[C5H41Al2+H]+,156.291179,positive,Protonated,Al-organic_hybrid,High
C5H42Al2+,156.291179,positive,Molecular ion,Al-organic_hybrid,High
[C5H43Al2-H]+,156.291179,positive,Hydrogen loss,Al-organic_hybrid,High
C5H42Al2-,156.292277,negative,Molecular anion,Al-organic_hybrid,High
[C5H43Al2-H]-,156.292277,negative,Deprotonated,Al-organic_hybrid,High
[C6H40OAl+H]+,156.29673,positive,Protonated,Al-organic_hybrid,High
C6H41OAl+,156.29673,positive,Molecular ion,Al-organic_hybrid,High
[C6H42OAl-H]+,156.29673,positive,Hydrogen loss,Al-organic_hybrid,High
C6H41OAl-,156.297828,negative,Molecular anion,Al-organic_hybrid,High
[C6H42OAl-H]-,156.297828,negative,Deprotonated,Al-organic_hybrid,High
[H47Al4+H]+,156.301207,positive,Protonated,Aluminum,High
H48Al4+,156.301207,positive,Molecular ion,Aluminum,High
[H49Al4-H]+,156.301207,positive,Hydrogen loss,Aluminum,High
H48Al4-,156.30230500000002,negative,Molecular anion,Aluminum,High
[H49Al4-H]-,156.30230500000002,negative,Deprotonated,Aluminum,High
[CH46OAl3+H]+,156.306758,positive,Protonated,Al-organic_hybrid,High
CH47OAl3+,156.306758,positive,Molecular ion,Al-organic_hybrid,High
[CH48OAl3-H]+,156.306758,positive,Hydrogen loss,Al-organic_hybrid,High
CH47OAl3-,156.30785600000002,negative,Molecular anion,Al-organic_hybrid,High
[CH48OAl3-H]-,156.30785600000002,negative,Deprotonated,Al-organic_hybrid,High
[C2H45O2Al2+H]+,156.312309,positive,Protonated,Al-organic_hybrid,High
C2H46O2Al2+,156.312309,positive,Molecular ion,Al-organic_hybrid,High
[C2H47O2Al2-H]+,156.312309,positive,Hydrogen loss,Al-organic_hybrid,High
C2H46O2Al2-,156.313407,negative,Molecular anion,Al-organic_hybrid,High
[C2H47O2Al2-H]-,156.313407,negative,Deprotonated,Al-organic_hybrid,High
[C3H44O3Al+H]+,156.31786,positive,Protonated,Al-organic_hybrid,High
C3H45O3Al+,156.31786,positive,Molecular ion,Al-organic_hybrid,High
[C3H46O3Al-H]+,156.31786,positive,Hydrogen loss,Al-organic_hybrid,High
C3H45O3Al-,156.318958,negative,Molecular anion,Al-organic_hybrid,High
[C3H46O3Al-H]-,156.318958,negative,Deprotonated,Al-organic_hybrid,High
[C7H44Al+H]+,156.333115,positive,Protonated,Al-organic_hybrid,High
C7H45Al+,156.333115,positive,Molecular ion,Al-organic_hybrid,High
[C7H46Al-H]+,156.333115,positive,Hydrogen loss,Al-organic_hybrid,High
C7H45Al-,156.334213,negative,Molecular anion,Al-organic_hybrid,High
[C7H46Al-H]-,156.334213,negative,Deprotonated,Al-organic_hybrid,High
[H48O5Al+H]+,156.33899,positive,Protonated,Aluminum_oxide,High
H49O5Al+,156.33899,positive,Molecular ion,Aluminum_oxide,High
[H50O5Al-H]+,156.33899,positive,Hydrogen loss,Aluminum_oxide,High
H49O5Al-,156.340088,negative,Molecular anion,Aluminum_oxide,High
[H50O5Al-H]-,156.340088,negative,Deprotonated,Aluminum_oxide,High
[C2H50Al3+H]+,156.343143,positive,Protonated,Al-organic_hybrid,High
[C3H49OAl2+H]+,156.348694,positive,Protonated,Al-organic_hybrid,High
C3H50OAl2+,156.348694,positive,Molecular ion,Al-organic_hybrid,High
C3H50OAl2-,156.349792,negative,Molecular anion,Al-organic_hybrid,High
[C4H48O2Al+H]+,156.354245,positive,Protonated,Al-organic_hybrid,High
C4H49O2Al+,156.354245,positive,Molecular ion,Al-organic_hybrid,High
[C4H50O2Al-H]+,156.354245,positive,Hydrogen loss,Al-organic_hybrid,High
C4H49O2Al-,156.355343,negative,Molecular anion,Al-organic_hybrid,High
[C4H50O2Al-H]-,156.355343,negative,Deprotonated,Al-organic_hybrid,High
HO3Al4+,156.918177,positive,Molecular ion,Aluminum_oxide,High
[O3Al4+H]+,156.91817700000001,positive,Protonated,Aluminum_oxide,High
[H2O3Al4-H]+,156.91817700000001,positive,Hydrogen loss,Aluminum_oxide,High
HO3Al4-,156.919275,negative,Molecular anion,Aluminum_oxide,High
[H2O3Al4-H]-,156.91927500000003,negative,Deprotonated,Aluminum_oxide,High
CO4Al3+,156.923728,positive,Molecular ion,Al-organic_hybrid,High
[CHO4Al3-H]+,156.923728,positive,Hydrogen loss,Al-organic_hybrid,High
CO4Al3-,156.92482600000002,negative,Molecular anion,Al-organic_hybrid,High
[CHO4Al3-H]-,156.92482600000002,negative,Deprotonated,Al-organic_hybrid,High
[C4Al4+H]+,156.93343199999998,positive,Protonated,Al-organic_hybrid,High
C4HAl4+,156.933432,positive,Molecular ion,Al-organic_hybrid,High
[C4H2Al4-H]+,156.933432,positive,Hydrogen loss,Al-organic_hybrid,High
C4HAl4-,156.93453000000002,negative,Molecular anion,Al-organic_hybrid,High
[C4H2Al4-H]-,156.93453000000002,negative,Deprotonated,Al-organic_hybrid,High
C5OAl3+,156.938983,positive,Molecular ion,Al-organic_hybrid,High
[C5HOAl3-H]+,156.938983,positive,Hydrogen loss,Al-organic_hybrid,High
C5OAl3-,156.94008100000002,negative,Molecular anion,Al-organic_hybrid,High
[C5HOAl3-H]-,156.94008100000002,negative,Deprotonated,Al-organic_hybrid,High
[H5OAl5+H]+,156.949011,positive,Protonated,Aluminum_oxide,High
H6OAl5+,156.949011,positive,Molecular ion,Aluminum_oxide,High
[H7OAl5-H]+,156.949011,positive,Hydrogen loss,Aluminum_oxide,High
H6OAl5-,156.95010900000003,negative,Molecular anion,Aluminum_oxide,High
[H7OAl5-H]-,156.95010900000003,negative,Deprotonated,Aluminum_oxide,High
CH5O2Al4+,156.95456199999998,positive,Molecular ion,Al-organic_hybrid,High
[CH4O2Al4+H]+,156.954562,positive,Protonated,Al-organic_hybrid,High
[CH6O2Al4-H]+,156.954562,positive,Hydrogen loss,Al-organic_hybrid,High
CH5O2Al4-,156.95566,negative,Molecular anion,Al-organic_hybrid,High
[CH6O2Al4-H]-,156.95566000000002,negative,Deprotonated,Al-organic_hybrid,High
[HO8Al+H]+,156.95596,positive,Protonated,Aluminum_oxide,High
H2O8Al+,156.95596,positive,Molecular ion,Aluminum_oxide,High
[H3O8Al-H]+,156.95596,positive,Hydrogen loss,Aluminum_oxide,High
H2O8Al-,156.95705800000002,negative,Molecular anion,Aluminum_oxide,High
[H3O8Al-H]-,156.95705800000002,negative,Deprotonated,Aluminum_oxide,High
[C2H3O3Al3+H]+,156.960113,positive,Protonated,Al-organic_hybrid,High
C2H4O3Al3+,156.960113,positive,Molecular ion,Al-organic_hybrid,High
[C2H5O3Al3-H]+,156.960113,positive,Hydrogen loss,Al-organic_hybrid,High
C2H4O3Al3-,156.96121100000002,negative,Molecular anion,Al-organic_hybrid,High
[C2H5O3Al3-H]-,156.96121100000002,negative,Deprotonated,Al-organic_hybrid,High
[C3H2O4Al2+H]+,156.965664,positive,Protonated,Al-organic_hybrid,High
C3H3O4Al2+,156.965664,positive,Molecular ion,Al-organic_hybrid,High
[C3H4O4Al2-H]+,156.965664,positive,Hydrogen loss,Al-organic_hybrid,High
C3H3O4Al2-,156.96676200000002,negative,Molecular anion,Al-organic_hybrid,High
[C3H4O4Al2-H]-,156.96676200000002,negative,Deprotonated,Al-organic_hybrid,High
[C4HO5Al+H]+,156.97121499999997,positive,Protonated,Al-organic_hybrid,High
C4H2O5Al+,156.971215,positive,Molecular ion,Al-organic_hybrid,High
[C4H3O5Al-H]+,156.971215,positive,Hydrogen loss,Al-organic_hybrid,High
C4H2O5Al-,156.972313,negative,Molecular anion,Al-organic_hybrid,High
[C4H3O5Al-H]-,156.972313,negative,Deprotonated,Al-organic_hybrid,High
[C6H3Al3+H]+,156.975368,positive,Protonated,Al-organic_hybrid,High
C6H4Al3+,156.975368,positive,Molecular ion,Al-organic_hybrid,High
[C6H5Al3-H]+,156.975368,positive,Hydrogen loss,Al-organic_hybrid,High
C6H4Al3-,156.97646600000002,negative,Molecular anion,Al-organic_hybrid,High
[C6H5Al3-H]-,156.97646600000002,negative,Deprotonated,Al-organic_hybrid,High
[C7H2OAl2+H]+,156.980919,positive,Protonated,Al-organic_hybrid,High
C7H3OAl2+,156.980919,positive,Molecular ion,Al-organic_hybrid,High
[C7H4OAl2-H]+,156.980919,positive,Hydrogen loss,Al-organic_hybrid,High
C7H3OAl2-,156.982017,negative,Molecular anion,Al-organic_hybrid,High
[C7H4OAl2-H]-,156.982017,negative,Deprotonated,Al-organic_hybrid,High
[CH9Al5+H]+,156.985396,positive,Protonated,Al-organic_hybrid,High
CH10Al5+,156.985396,positive,Molecular ion,Al-organic_hybrid,High
[CH11Al5-H]+,156.985396,positive,Hydrogen loss,Al-organic_hybrid,High
[C8HO2Al+H]+,156.98647,positive,Protonated,Al-organic_hybrid,High
C8H2O2Al+,156.98647,positive,Molecular ion,Al-organic_hybrid,High
[C8H3O2Al-H]+,156.98647,positive,Hydrogen loss,Al-organic_hybrid,High
CH10Al5-,156.98649400000002,negative,Molecular anion,Al-organic_hybrid,High
[CH11Al5-H]-,156.98649400000002,negative,Deprotonated,Al-organic_hybrid,High
[H6O6Al2+H]+,156.986794,positive,Protonated,Aluminum_oxide,High
H7O6Al2+,156.986794,positive,Molecular ion,Aluminum_oxide,High
[H8O6Al2-H]+,156.986794,positive,Hydrogen loss,Aluminum_oxide,High
C8H2O2Al-,156.987568,negative,Molecular anion,Al-organic_hybrid,High
[C8H3O2Al-H]-,156.987568,negative,Deprotonated,Al-organic_hybrid,High
H7O6Al2-,156.98789200000002,negative,Molecular anion,Aluminum_oxide,High
[H8O6Al2-H]-,156.98789200000002,negative,Deprotonated,Aluminum_oxide,High
[C2H8OAl4+H]+,156.990947,positive,Protonated,Al-organic_hybrid,High
C2H9OAl4+,156.990947,positive,Molecular ion,Al-organic_hybrid,High
[C2H10OAl4-H]+,156.990947,positive,Hydrogen loss,Al-organic_hybrid,High
C2H9OAl4-,156.99204500000002,negative,Molecular anion,Al-organic_hybrid,High
[C2H10OAl4-H]-,156.99204500000002,negative,Deprotonated,Al-organic_hybrid,High
[CH5O7Al+H]+,156.992345,positive,Protonated,Al-organic_hybrid,High
CH6O7Al+,156.992345,positive,Molecular ion,Al-organic_hybrid,High
[CH7O7Al-H]+,156.992345,positive,Hydrogen loss,Al-organic_hybrid,High
CH6O7Al-,156.993443,negative,Molecular anion,Al-organic_hybrid,High
[CH7O7Al-H]-,156.993443,negative,Deprotonated,Al-organic_hybrid,High
[C3H7O2Al3+H]+,156.996498,positive,Protonated,Al-organic_hybrid,High
C3H8O2Al3+,156.996498,positive,Molecular ion,Al-organic_hybrid,High
[C3H9O2Al3-H]+,156.996498,positive,Hydrogen loss,Al-organic_hybrid,High
C3H8O2Al3-,156.99759600000002,negative,Molecular anion,Al-organic_hybrid,High
[C3H9O2Al3-H]-,156.99759600000002,negative,Deprotonated,Al-organic_hybrid,High
[C4H6O3Al2+H]+,157.002049,positive,Protonated,Al-organic_hybrid,High
C4H7O3Al2+,157.002049,positive,Molecular ion,Al-organic_hybrid,High
[C4H8O3Al2-H]+,157.002049,positive,Hydrogen loss,Al-organic_hybrid,High
C4H7O3Al2-,157.003147,negative,Molecular anion,Al-organic_hybrid,High
[C4H8O3Al2-H]-,157.003147,negative,Deprotonated,Al-organic_hybrid,High
[C5H5O4Al+H]+,157.0076,positive,Protonated,Al-organic_hybrid,High
C5H6O4Al+,157.0076,positive,Molecular ion,Al-organic_hybrid,High
[C5H7O4Al-H]+,157.0076,positive,Hydrogen loss,Al-organic_hybrid,High
C5H6O4Al-,157.008698,negative,Molecular anion,Al-organic_hybrid,High
[C5H7O4Al-H]-,157.008698,negative,Deprotonated,Al-organic_hybrid,High
[C8H6Al2+H]+,157.017304,positive,Protonated,Al-organic_hybrid,High
C8H7Al2+,157.017304,positive,Molecular ion,Al-organic_hybrid,High
[C8H8Al2-H]+,157.017304,positive,Hydrogen loss,Al-organic_hybrid,High
[H11O4Al3+H]+,157.017628,positive,Protonated,Aluminum_oxide,High
H12O4Al3+,157.017628,positive,Molecular ion,Aluminum_oxide,High
[H13O4Al3-H]+,157.017628,positive,Hydrogen loss,Aluminum_oxide,High
C8H7Al2-,157.018402,negative,Molecular anion,Al-organic_hybrid,High
[C8H8Al2-H]-,157.018402,negative,Deprotonated,Al-organic_hybrid,High
H12O4Al3-,157.01872600000002,negative,Molecular anion,Aluminum_oxide,High
[H13O4Al3-H]-,157.01872600000002,negative,Deprotonated,Aluminum_oxide,High
[C9H5OAl+H]+,157.022855,positive,Protonated,Al-organic_hybrid,High
C9H6OAl+,157.022855,positive,Molecular ion,Al-organic_hybrid,High
[C9H7OAl-H]+,157.022855,positive,Hydrogen loss,Al-organic_hybrid,High
[CH10O5Al2+H]+,157.023179,positive,Protonated,Al-organic_hybrid,High
CH11O5Al2+,157.023179,positive,Molecular ion,Al-organic_hybrid,High
[CH12O5Al2-H]+,157.023179,positive,Hydrogen loss,Al-organic_hybrid,High
C9H6OAl-,157.023953,negative,Molecular anion,Al-organic_hybrid,High
[C9H7OAl-H]-,157.023953,negative,Deprotonated,Al-organic_hybrid,High
CH11O5Al2-,157.024277,negative,Molecular anion,Al-organic_hybrid,High
[CH12O5Al2-H]-,157.024277,negative,Deprotonated,Al-organic_hybrid,High
[C3H12Al4+H]+,157.027332,positive,Protonated,Al-organic_hybrid,High
C3H13Al4+,157.027332,positive,Molecular ion,Al-organic_hybrid,High
[C3H14Al4-H]+,157.027332,positive,Hydrogen loss,Al-organic_hybrid,High
C3H13Al4-,157.02843000000001,negative,Molecular anion,Al-organic_hybrid,High
[C3H14Al4-H]-,157.02843000000001,negative,Deprotonated,Al-organic_hybrid,High
[C2H9O6Al+H]+,157.02873,positive,Protonated,Al-organic_hybrid,High
C2H10O6Al+,157.02873,positive,Molecular ion,Al-organic_hybrid,High
[C2H11O6Al-H]+,157.02873,positive,Hydrogen loss,Al-organic_hybrid,High
C2H10O6Al-,157.029828,negative,Molecular anion,Al-organic_hybrid,High
[C2H11O6Al-H]-,157.029828,negative,Deprotonated,Al-organic_hybrid,High
[C4H11OAl3+H]+,157.032883,positive,Protonated,Al-organic_hybrid,High
C4H12OAl3+,157.032883,positive,Molecular ion,Al-organic_hybrid,High
[C4H13OAl3-H]+,157.03288300000003,positive,Hydrogen loss,Al-organic_hybrid,High
C4H12OAl3-,157.033981,negative,Molecular anion,Al-organic_hybrid,High
[C4H13OAl3-H]-,157.03398100000004,negative,Deprotonated,Al-organic_hybrid,High
[C5H10O2Al2+H]+,157.038434,positive,Protonated,Al-organic_hybrid,High
C5H11O2Al2+,157.038434,positive,Molecular ion,Al-organic_hybrid,High
[C5H12O2Al2-H]+,157.038434,positive,Hydrogen loss,Al-organic_hybrid,High
C5H11O2Al2-,157.039532,negative,Molecular anion,Al-organic_hybrid,High
[C5H12O2Al2-H]-,157.039532,negative,Deprotonated,Al-organic_hybrid,High
[C6H9O3Al+H]+,157.043985,positive,Protonated,Al-organic_hybrid,High
C6H10O3Al+,157.043985,positive,Molecular ion,Al-organic_hybrid,High
[C6H11O3Al-H]+,157.043985,positive,Hydrogen loss,Al-organic_hybrid,High
C6H10O3Al-,157.045083,negative,Molecular anion,Al-organic_hybrid,High
[C6H11O3Al-H]-,157.045083,negative,Deprotonated,Al-organic_hybrid,High
[H16O2Al4+H]+,157.048462,positive,Protonated,Aluminum_oxide,High
H17O2Al4+,157.048462,positive,Molecular ion,Aluminum_oxide,High
[H18O2Al4-H]+,157.048462,positive,Hydrogen loss,Aluminum_oxide,High
H17O2Al4-,157.04956,negative,Molecular anion,Aluminum_oxide,High
[H18O2Al4-H]-,157.04956,negative,Deprotonated,Aluminum_oxide,High
[CH15O3Al3+H]+,157.054013,positive,Protonated,Al-organic_hybrid,High
[CH17O3Al3-H]+,157.054013,positive,Hydrogen loss,Al-organic_hybrid,High
CH16O3Al3+,157.05401300000003,positive,Molecular ion,Al-organic_hybrid,High
[CH17O3Al3-H]-,157.055111,negative,Deprotonated,Al-organic_hybrid,High
CH16O3Al3-,157.05511100000004,negative,Molecular anion,Al-organic_hybrid,High
[C10H9Al+H]+,157.05924,positive,Protonated,Al-organic_hybrid,High
C10H10Al+,157.05924,positive,Molecular ion,Al-organic_hybrid,High
[C10H11Al-H]+,157.05924,positive,Hydrogen loss,Al-organic_hybrid,High
[C2H14O4Al2+H]+,157.059564,positive,Protonated,Al-organic_hybrid,High
C2H15O4Al2+,157.059564,positive,Molecular ion,Al-organic_hybrid,High
[C2H16O4Al2-H]+,157.059564,positive,Hydrogen loss,Al-organic_hybrid,High
C10H10Al-,157.060338,negative,Molecular anion,Al-organic_hybrid,High
[C10H11Al-H]-,157.060338,negative,Deprotonated,Al-organic_hybrid,High
C2H15O4Al2-,157.060662,negative,Molecular anion,Al-organic_hybrid,High
[C2H16O4Al2-H]-,157.060662,negative,Deprotonated,Al-organic_hybrid,High
[C3H13O5Al+H]+,157.065115,positive,Protonated,Al-organic_hybrid,High
C3H14O5Al+,157.065115,positive,Molecular ion,Al-organic_hybrid,High
[C3H15O5Al-H]+,157.065115,positive,Hydrogen loss,Al-organic_hybrid,High
C3H14O5Al-,157.066213,negative,Molecular anion,Al-organic_hybrid,High
[C3H15O5Al-H]-,157.066213,negative,Deprotonated,Al-organic_hybrid,High
[C5H15Al3+H]+,157.069268,positive,Protonated,Al-organic_hybrid,High
C5H16Al3+,157.069268,positive,Molecular ion,Al-organic_hybrid,High
[C5H17Al3-H]+,157.06926800000002,positive,Hydrogen loss,Al-organic_hybrid,High
C5H16Al3-,157.070366,negative,Molecular anion,Al-organic_hybrid,High
[C5H17Al3-H]-,157.07036600000004,negative,Deprotonated,Al-organic_hybrid,High
[C6H14OAl2+H]+,157.074819,positive,Protonated,Al-organic_hybrid,High
C6H15OAl2+,157.074819,positive,Molecular ion,Al-organic_hybrid,High
[C6H16OAl2-H]+,157.07481900000002,positive,Hydrogen loss,Al-organic_hybrid,High
C6H15OAl2-,157.075917,negative,Molecular anion,Al-organic_hybrid,High
[C6H16OAl2-H]-,157.07591700000003,negative,Deprotonated,Al-organic_hybrid,High
[H21Al5+H]+,157.079296,positive,Protonated,Aluminum,High
H22Al5+,157.079296,positive,Molecular ion,Aluminum,High
[H23Al5-H]+,157.079296,positive,Hydrogen loss,Aluminum,High
[C7H13O2Al+H]+,157.08037,positive,Protonated,Al-organic_hybrid,High
C7H14O2Al+,157.08037,positive,Molecular ion,Al-organic_hybrid,High
[C7H15O2Al-H]+,157.08037,positive,Hydrogen loss,Al-organic_hybrid,High
H22Al5-,157.080394,negative,Molecular anion,Aluminum,High
[H23Al5-H]-,157.080394,negative,Deprotonated,Aluminum,High
C7H14O2Al-,157.081468,negative,Molecular anion,Al-organic_hybrid,High
[C7H15O2Al-H]-,157.081468,negative,Deprotonated,Al-organic_hybrid,High
[CH20OAl4+H]+,157.084847,positive,Protonated,Al-organic_hybrid,High
CH21OAl4+,157.084847,positive,Molecular ion,Al-organic_hybrid,High
[CH22OAl4-H]+,157.084847,positive,Hydrogen loss,Al-organic_hybrid,High
CH21OAl4-,157.085945,negative,Molecular anion,Al-organic_hybrid,High
[CH22OAl4-H]-,157.085945,negative,Deprotonated,Al-organic_hybrid,High
[H17O7Al+H]+,157.086245,positive,Protonated,Aluminum_oxide,High
H18O7Al+,157.086245,positive,Molecular ion,Aluminum_oxide,High
[H19O7Al-H]+,157.086245,positive,Hydrogen loss,Aluminum_oxide,High
H18O7Al-,157.087343,negative,Molecular anion,Aluminum_oxide,High
[H19O7Al-H]-,157.087343,negative,Deprotonated,Aluminum_oxide,High
[C2H19O2Al3+H]+,157.090398,positive,Protonated,Al-organic_hybrid,High
[C2H21O2Al3-H]+,157.090398,positive,Hydrogen loss,Al-organic_hybrid,High
C2H20O2Al3+,157.09039800000002,positive,Molecular ion,Al-organic_hybrid,High
[C2H21O2Al3-H]-,157.091496,negative,Deprotonated,Al-organic_hybrid,High
C2H20O2Al3-,157.09149600000003,negative,Molecular anion,Al-organic_hybrid,High
[C3H18O3Al2+H]+,157.095949,positive,Protonated,Al-organic_hybrid,High
C3H19O3Al2+,157.095949,positive,Molecular ion,Al-organic_hybrid,High
[C3H20O3Al2-H]+,157.095949,positive,Hydrogen loss,Al-organic_hybrid,High
C3H19O3Al2-,157.097047,negative,Molecular anion,Al-organic_hybrid,High
[C3H20O3Al2-H]-,157.097047,negative,Deprotonated,Al-organic_hybrid,High
[C4H17O4Al+H]+,157.1015,positive,Protonated,Al-organic_hybrid,High
C4H18O4Al+,157.1015,positive,Molecular ion,Al-organic_hybrid,High
[C4H19O4Al-H]+,157.1015,positive,Hydrogen loss,Al-organic_hybrid,High
C4H18O4Al-,157.102598,negative,Molecular anion,Al-organic_hybrid,High
[C4H19O4Al-H]-,157.102598,negative,Deprotonated,Al-organic_hybrid,High
[C7H18Al2+H]+,157.111204,positive,Protonated,Al-organic_hybrid,High
C7H19Al2+,157.111204,positive,Molecular ion,Al-organic_hybrid,High
[C7H20Al2-H]+,157.111204,positive,Hydrogen loss,Al-organic_hybrid,High
C7H19Al2-,157.112302,negative,Molecular anion,Al-organic_hybrid,High
[C7H20Al2-H]-,157.112302,negative,Deprotonated,Al-organic_hybrid,High
[C8H17OAl+H]+,157.11675499999998,positive,Protonated,Al-organic_hybrid,High
C8H18OAl+,157.11675499999998,positive,Molecular ion,Al-organic_hybrid,High
[C8H19OAl-H]+,157.11675499999998,positive,Hydrogen loss,Al-organic_hybrid,High
[H22O5Al2+H]+,157.117079,positive,Protonated,Aluminum_oxide,High
H23O5Al2+,157.117079,positive,Molecular ion,Aluminum_oxide,High
[H24O5Al2-H]+,157.117079,positive,Hydrogen loss,Aluminum_oxide,High
C8H18OAl-,157.117853,negative,Molecular anion,Al-organic_hybrid,High
[C8H19OAl-H]-,157.117853,negative,Deprotonated,Al-organic_hybrid,High
H23O5Al2-,157.118177,negative,Molecular anion,Aluminum_oxide,High
[H24O5Al2-H]-,157.118177,negative,Deprotonated,Aluminum_oxide,High
[C2H24Al4+H]+,157.121232,positive,Protonated,Al-organic_hybrid,High
C2H25Al4+,157.121232,positive,Molecular ion,Al-organic_hybrid,High
[C2H26Al4-H]+,157.12123200000002,positive,Hydrogen loss,Al-organic_hybrid,High
C2H25Al4-,157.12233,negative,Molecular anion,Al-organic_hybrid,High
[C2H26Al4-H]-,157.12233000000003,negative,Deprotonated,Al-organic_hybrid,High
[CH21O6Al+H]+,157.12263,positive,Protonated,Al-organic_hybrid,High
CH22O6Al+,157.12263,positive,Molecular ion,Al-organic_hybrid,High
[CH23O6Al-H]+,157.12263000000002,positive,Hydrogen loss,Al-organic_hybrid,High
CH22O6Al-,157.123728,negative,Molecular anion,Al-organic_hybrid,High
[CH23O6Al-H]-,157.12372800000003,negative,Deprotonated,Al-organic_hybrid,High
[C3H23OAl3+H]+,157.126783,positive,Protonated,Al-organic_hybrid,High
[C3H25OAl3-H]+,157.126783,positive,Hydrogen loss,Al-organic_hybrid,High
C3H24OAl3+,157.12678300000002,positive,Molecular ion,Al-organic_hybrid,High
[C3H25OAl3-H]-,157.127881,negative,Deprotonated,Al-organic_hybrid,High
C3H24OAl3-,157.12788100000003,negative,Molecular anion,Al-organic_hybrid,High
[C4H22O2Al2+H]+,157.132334,positive,Protonated,Al-organic_hybrid,High
C4H23O2Al2+,157.132334,positive,Molecular ion,Al-organic_hybrid,High
[C4H24O2Al2-H]+,157.132334,positive,Hydrogen loss,Al-organic_hybrid,High
C4H23O2Al2-,157.133432,negative,Molecular anion,Al-organic_hybrid,High
[C4H24O2Al2-H]-,157.133432,negative,Deprotonated,Al-organic_hybrid,High
[C5H21O3Al+H]+,157.13788499999998,positive,Protonated,Al-organic_hybrid,High
[C5H23O3Al-H]+,157.13788499999998,positive,Hydrogen loss,Al-organic_hybrid,High
C5H22O3Al+,157.137885,positive,Molecular ion,Al-organic_hybrid,High
[C5H23O3Al-H]-,157.138983,negative,Deprotonated,Al-organic_hybrid,High
C5H22O3Al-,157.13898300000002,negative,Molecular anion,Al-organic_hybrid,High
H28O3Al3+,157.147913,positive,Molecular ion,Aluminum_oxide,High
[H27O3Al3+H]+,157.14791300000002,positive,Protonated,Aluminum_oxide,High
[H29O3Al3-H]+,157.14791300000002,positive,Hydrogen loss,Aluminum_oxide,High
H28O3Al3-,157.149011,negative,Molecular anion,Aluminum_oxide,High
[H29O3Al3-H]-,157.14901100000003,negative,Deprotonated,Aluminum_oxide,High
[C9H21Al+H]+,157.15313999999998,positive,Protonated,Al-organic_hybrid,High
C9H22Al+,157.15313999999998,positive,Molecular ion,Al-organic_hybrid,High
[C9H23Al-H]+,157.15314,positive,Hydrogen loss,Al-organic_hybrid,High
[CH26O4Al2+H]+,157.15346399999999,positive,Protonated,Al-organic_hybrid,High
CH27O4Al2+,157.15346399999999,positive,Molecular ion,Al-organic_hybrid,High
[CH28O4Al2-H]+,157.15346399999999,positive,Hydrogen loss,Al-organic_hybrid,High
C9H22Al-,157.154238,negative,Molecular anion,Al-organic_hybrid,High
[C9H23Al-H]-,157.15423800000002,negative,Deprotonated,Al-organic_hybrid,High
CH27O4Al2-,157.154562,negative,Molecular anion,Al-organic_hybrid,High
[CH28O4Al2-H]-,157.154562,negative,Deprotonated,Al-organic_hybrid,High
[C2H25O5Al+H]+,157.15901499999998,positive,Protonated,Al-organic_hybrid,High
C2H26O5Al+,157.15901499999998,positive,Molecular ion,Al-organic_hybrid,High
[C2H27O5Al-H]+,157.159015,positive,Hydrogen loss,Al-organic_hybrid,High
C2H26O5Al-,157.160113,negative,Molecular anion,Al-organic_hybrid,High
[C2H27O5Al-H]-,157.16011300000002,negative,Deprotonated,Al-organic_hybrid,High
[C4H27Al3+H]+,157.16316799999998,positive,Protonated,Al-organic_hybrid,High
[C4H29Al3-H]+,157.16316799999998,positive,Hydrogen loss,Al-organic_hybrid,High
C4H28Al3+,157.163168,positive,Molecular ion,Al-organic_hybrid,High
[C4H29Al3-H]-,157.164266,negative,Deprotonated,Al-organic_hybrid,High
