formula,mass,charge,description,chemical_class,alucone_relevance
CH18O2Al3-,143.075846,negative,Molecular anion,Al-organic_hybrid,High
[CH19O2Al3-H]-,143.075846,negative,Deprotonated,Al-organic_hybrid,High
[C2H16O3Al2+H]+,143.080299,positive,Protonated,Al-organic_hybrid,High
C2H17O3Al2+,143.080299,positive,Molecular ion,Al-organic_hybrid,High
[C2H18O3Al2-H]+,143.080299,positive,Hydrogen loss,Al-organic_hybrid,High
C2H17O3Al2-,143.081397,negative,Molecular anion,Al-organic_hybrid,High
[C2H18O3Al2-H]-,143.081397,negative,Deprotonated,Al-organic_hybrid,High
[C3H15O4Al+H]+,143.08585,positive,Protonated,Al-organic_hybrid,High
C3H16O4Al+,143.08585,positive,Molecular ion,Al-organic_hybrid,High
[C3H17O4Al-H]+,143.08585,positive,Hydrogen loss,Al-organic_hybrid,High
C3H16O4Al-,143.086948,negative,Molecular anion,Al-organic_hybrid,High
[C3H17O4Al-H]-,143.086948,negative,Deprotonated,Al-organic_hybrid,High
[C6H16Al2+H]+,143.095554,positive,Protonated,Al-organic_hybrid,High
C6H17Al2+,143.095554,positive,Molecular ion,Al-organic_hybrid,High
[C6H18Al2-H]+,143.095554,positive,Hydrogen loss,Al-organic_hybrid,High
C6H17Al2-,143.096652,negative,Molecular anion,Al-organic_hybrid,High
[C6H18Al2-H]-,143.096652,negative,Deprotonated,Al-organic_hybrid,High
[C7H15OAl+H]+,143.101105,positive,Protonated,Al-organic_hybrid,High
C7H16OAl+,143.10110500000002,positive,Molecular ion,Al-organic_hybrid,High
[C7H17OAl-H]+,143.10110500000002,positive,Hydrogen loss,Al-organic_hybrid,High
C7H16OAl-,143.10220300000003,negative,Molecular anion,Al-organic_hybrid,High
[C7H17OAl-H]-,143.10220300000003,negative,Deprotonated,Al-organic_hybrid,High
[CH22Al4+H]+,143.105582,positive,Protonated,Al-organic_hybrid,High
CH23Al4+,143.105582,positive,Molecular ion,Al-organic_hybrid,High
[CH24Al4-H]+,143.105582,positive,Hydrogen loss,Al-organic_hybrid,High
CH23Al4-,143.10668,negative,Molecular anion,Al-organic_hybrid,High
[CH24Al4-H]-,143.10668,negative,Deprotonated,Al-organic_hybrid,High
[H19O6Al+H]+,143.10698,positive,Protonated,Aluminum_oxide,High
H20O6Al+,143.10698,positive,Molecular ion,Aluminum_oxide,High
[H21O6Al-H]+,143.10698,positive,Hydrogen loss,Aluminum_oxide,High
H20O6Al-,143.108078,negative,Molecular anion,Aluminum_oxide,High
[H21O6Al-H]-,143.108078,negative,Deprotonated,Aluminum_oxide,High
[C2H21OAl3+H]+,143.111133,positive,Protonated,Al-organic_hybrid,High
C2H22OAl3+,143.111133,positive,Molecular ion,Al-organic_hybrid,High
[C2H23OAl3-H]+,143.111133,positive,Hydrogen loss,Al-organic_hybrid,High
C2H22OAl3-,143.112231,negative,Molecular anion,Al-organic_hybrid,High
[C2H23OAl3-H]-,143.112231,negative,Deprotonated,Al-organic_hybrid,High
[C3H20O2Al2+H]+,143.116684,positive,Protonated,Al-organic_hybrid,High
C3H21O2Al2+,143.116684,positive,Molecular ion,Al-organic_hybrid,High
[C3H22O2Al2-H]+,143.116684,positive,Hydrogen loss,Al-organic_hybrid,High
C3H21O2Al2-,143.117782,negative,Molecular anion,Al-organic_hybrid,High
[C3H22O2Al2-H]-,143.117782,negative,Deprotonated,Al-organic_hybrid,High
[C4H19O3Al+H]+,143.122235,positive,Protonated,Al-organic_hybrid,High
C4H20O3Al+,143.122235,positive,Molecular ion,Al-organic_hybrid,High
[C4H21O3Al-H]+,143.122235,positive,Hydrogen loss,Al-organic_hybrid,High
C4H20O3Al-,143.123333,negative,Molecular anion,Al-organic_hybrid,High
[C4H21O3Al-H]-,143.123333,negative,Deprotonated,Al-organic_hybrid,High
[C8H19Al+H]+,143.13748999999999,positive,Protonated,Al-organic_hybrid,High
C8H20Al+,143.13748999999999,positive,Molecular ion,Al-organic_hybrid,High
[C8H21Al-H]+,143.13748999999999,positive,Hydrogen loss,Al-organic_hybrid,High
[H24O4Al2+H]+,143.137814,positive,Protonated,Aluminum_oxide,High
H25O4Al2+,143.137814,positive,Molecular ion,Aluminum_oxide,High
[H26O4Al2-H]+,143.137814,positive,Hydrogen loss,Aluminum_oxide,High
C8H20Al-,143.138588,negative,Molecular anion,Al-organic_hybrid,High
[C8H21Al-H]-,143.138588,negative,Deprotonated,Al-organic_hybrid,High
H25O4Al2-,143.138912,negative,Molecular anion,Aluminum_oxide,High
[H26O4Al2-H]-,143.138912,negative,Deprotonated,Aluminum_oxide,High
[CH23O5Al+H]+,143.143365,positive,Protonated,Al-organic_hybrid,High
CH24O5Al+,143.143365,positive,Molecular ion,Al-organic_hybrid,High
[CH25O5Al-H]+,143.143365,positive,Hydrogen loss,Al-organic_hybrid,High
CH24O5Al-,143.144463,negative,Molecular anion,Al-organic_hybrid,High
[CH25O5Al-H]-,143.144463,negative,Deprotonated,Al-organic_hybrid,High
[C3H25Al3+H]+,143.147518,positive,Protonated,Al-organic_hybrid,High
[C3H27Al3-H]+,143.147518,positive,Hydrogen loss,Al-organic_hybrid,High
C3H26Al3+,143.14751800000002,positive,Molecular ion,Al-organic_hybrid,High
[C3H27Al3-H]-,143.148616,negative,Deprotonated,Al-organic_hybrid,High
C3H26Al3-,143.14861600000003,negative,Molecular anion,Al-organic_hybrid,High
[C4H24OAl2+H]+,143.153069,positive,Protonated,Al-organic_hybrid,High
C4H25OAl2+,143.15306900000002,positive,Molecular ion,Al-organic_hybrid,High
[C4H26OAl2-H]+,143.15306900000002,positive,Hydrogen loss,Al-organic_hybrid,High
C4H25OAl2-,143.15416700000003,negative,Molecular anion,Al-organic_hybrid,High
[C4H26OAl2-H]-,143.15416700000003,negative,Deprotonated,Al-organic_hybrid,High
[C5H23O2Al+H]+,143.15861999999998,positive,Protonated,Al-organic_hybrid,High
C5H24O2Al+,143.15861999999998,positive,Molecular ion,Al-organic_hybrid,High
[C5H25O2Al-H]+,143.15862,positive,Hydrogen loss,Al-organic_hybrid,High
C5H24O2Al-,143.159718,negative,Molecular anion,Al-organic_hybrid,High
[C5H25O2Al-H]-,143.15971800000003,negative,Deprotonated,Al-organic_hybrid,High
[H29O2Al3+H]+,143.168648,positive,Protonated,Aluminum_oxide,High
H30O2Al3+,143.168648,positive,Molecular ion,Aluminum_oxide,High
[H31O2Al3-H]+,143.16864800000002,positive,Hydrogen loss,Aluminum_oxide,High
H30O2Al3-,143.169746,negative,Molecular anion,Aluminum_oxide,High
[H31O2Al3-H]-,143.16974600000003,negative,Deprotonated,Aluminum_oxide,High
[CH28O3Al2+H]+,143.174199,positive,Protonated,Al-organic_hybrid,High
CH29O3Al2+,143.174199,positive,Molecular ion,Al-organic_hybrid,High
[CH30O3Al2-H]+,143.174199,positive,Hydrogen loss,Al-organic_hybrid,High
CH29O3Al2-,143.175297,negative,Molecular anion,Al-organic_hybrid,High
[CH30O3Al2-H]-,143.175297,negative,Deprotonated,Al-organic_hybrid,High
[C2H27O4Al+H]+,143.17974999999998,positive,Protonated,Al-organic_hybrid,High
C2H28O4Al+,143.17974999999998,positive,Molecular ion,Al-organic_hybrid,High
[C2H29O4Al-H]+,143.17974999999998,positive,Hydrogen loss,Al-organic_hybrid,High
C2H28O4Al-,143.180848,negative,Molecular anion,Al-organic_hybrid,High
[C2H29O4Al-H]-,143.180848,negative,Deprotonated,Al-organic_hybrid,High
[C5H28Al2+H]+,143.18945399999998,positive,Protonated,Al-organic_hybrid,High
C5H29Al2+,143.18945399999998,positive,Molecular ion,Al-organic_hybrid,High
[C5H30Al2-H]+,143.18945399999998,positive,Hydrogen loss,Al-organic_hybrid,High
C5H29Al2-,143.190552,negative,Molecular anion,Al-organic_hybrid,High
[C5H30Al2-H]-,143.190552,negative,Deprotonated,Al-organic_hybrid,High
[C6H27OAl+H]+,143.195005,positive,Protonated,Al-organic_hybrid,High
C6H28OAl+,143.195005,positive,Molecular ion,Al-organic_hybrid,High
[C6H29OAl-H]+,143.195005,positive,Hydrogen loss,Al-organic_hybrid,High
C6H28OAl-,143.19610300000002,negative,Molecular anion,Al-organic_hybrid,High
[C6H29OAl-H]-,143.19610300000002,negative,Deprotonated,Al-organic_hybrid,High
[H34Al4+H]+,143.199482,positive,Protonated,Aluminum,High
H35Al4+,143.199482,positive,Molecular ion,Aluminum,High
[H36Al4-H]+,143.199482,positive,Hydrogen loss,Aluminum,High
H35Al4-,143.20058,negative,Molecular anion,Aluminum,High
[H36Al4-H]-,143.20058,negative,Deprotonated,Aluminum,High
[CH33OAl3+H]+,143.205033,positive,Protonated,Al-organic_hybrid,High
CH34OAl3+,143.205033,positive,Molecular ion,Al-organic_hybrid,High
[CH35OAl3-H]+,143.20503300000001,positive,Hydrogen loss,Al-organic_hybrid,High
CH34OAl3-,143.206131,negative,Molecular anion,Al-organic_hybrid,High
[CH35OAl3-H]-,143.20613100000003,negative,Deprotonated,Al-organic_hybrid,High
[C2H32O2Al2+H]+,143.21058399999998,positive,Protonated,Al-organic_hybrid,High
C2H33O2Al2+,143.21058399999998,positive,Molecular ion,Al-organic_hybrid,High
[C2H34O2Al2-H]+,143.210584,positive,Hydrogen loss,Al-organic_hybrid,High
C2H33O2Al2-,143.211682,negative,Molecular anion,Al-organic_hybrid,High
[C2H34O2Al2-H]-,143.21168200000002,negative,Deprotonated,Al-organic_hybrid,High
